Feature,version_01,version_02,version_03,version_04,version_05,version_05,version_06,version_07,version_08,version_09,version_10,version_11
Important files,setup.sh,"gulpfile.js, product.ejs","gulpfile.js, product.ejs","gulpfile.js, product.ejs","gulpfile.js, product.ejs","gulpfile.js, product.ejs","gulpfile.js, product.ejs","gulpfile.js, product.ejs","gulpfile.js, product.ejs","gulpfile.js, product.ejs","gulpfile.js, product.ejs","gulpfile.js, product.ejs"
Project Setup,"Sets up project structure (directories, permissions)",Relies on existing project structure,Relies on existing project structure,Relies on existing project structure,Relies on existing project structure,Relies on existing project structure,Relies on existing project structure,Relies on existing project structure,Relies on existing project structure,Relies on existing project structure,Relies on existing project structure,Relies on existing project structure
Dependency Management,Installs dependencies using npm,Assumes dependencies are already installed,Assumes dependencies are already installed,Assumes dependencies are already installed,Assumes dependencies are already installed,Assumes dependencies are already installed,Assumes dependencies are already installed,Assumes dependencies are already installed,Assumes dependencies are already installed,Assumes dependencies are already installed,Assumes dependencies are already installed,Assumes dependencies are already installed
Template Engine,Uses EJS for templating,Uses EJS for templating,Uses EJS for templating,Uses EJS for templating,Uses EJS for templating,Uses EJS for templating,Uses EJS for templating,Uses EJS for templating,Uses EJS for templating,Uses EJS for templating,Uses EJS for templating,Uses EJS for templating
CSV Processing,Parses CSV using csv-parser,Parses CSV using csvtojson,Parses CSV using csvtojson,Parses CSV using csvtojson,Parses CSV using csvtojson,Parses CSV using csvtojson,Parses CSV using csvtojson,Parses CSV using csvtojson,Parses CSV using csvtojson,Parses CSV using csvtojson,Parses CSV using csvtojson,Parses CSV using csvtojson
Image Handling,Downloads images from URLs,Assumes images are already available,Downloads images from URLs,Downloads images from URLs,Downloads images from URLs,Downloads images from URLs,Downloads images from URLs,Downloads images from URLs,Downloads images from URLs,Downloads images from URLs,Downloads images from URLs,Downloads images from URLs
HTML Generation,Generates HTML files from CSV data and EJS template,Generates HTML files from CSV data and EJS template,Generates HTML files from CSV data and EJS template,Generates HTML files from CSV data and EJS template,Generates HTML files from CSV data and EJS template,Generates HTML files from CSV data and EJS template,Generates HTML files from CSV data and EJS template,Generates HTML files from CSV data and EJS template,Generates HTML files from CSV data and EJS template,Generates HTML files from CSV data and EJS template,Generates HTML files from CSV data and EJS template,Generates HTML files from CSV data and EJS template
Sitemap Generation,Generates sitemap.xml,No sitemap generation,Generates sitemap.xml,Generates sitemap.xml,Generates sitemap.xml,Generates sitemap.xml,Generates sitemap.xml,Generates sitemap.xml,Generates sitemap.xml,Generates sitemap.xml,Generates sitemap.xml,Generates sitemap.xml
XML Generation,Generates products_database.xml,No XML generation,Generates products_database.xml,Generates products_database.xml,Generates products_database.xml,Generates products_database.xml,Generates products_database.xml,Generates products_database.xml,Generates products_database.xml,Generates products_database.xml,Generates products_database.xml,Generates products_database.xml
Web Server Configuration,Sets web server permissions,No web server configuration,No web server configuration,No web server configuration,No web server configuration,No web server configuration,No web server configuration,No web server configuration,No web server configuration,No web server configuration,No web server configuration,No web server configuration
Cleanup,Includes cleanup process to remove all files except data and public folders,No cleanup process,No cleanup process,No cleanup process,No cleanup process,No cleanup process,No cleanup process,No cleanup process,No cleanup process,No cleanup process,No cleanup process,No cleanup process
Automation,Basic shell script,Uses Gulp for automation,Uses Gulp for automation,Uses Gulp for automation,Uses Gulp for automation,Uses Gulp for automation,Uses Gulp for automation,Uses Gulp for automation,Uses Gulp for automation,Uses Gulp for automation,Uses Gulp for automation,Uses Gulp for automation
Output Location,Creates public/products directory,/var/www/test.silkroademart.com,Variable location as user input,Variable location as user input,Variable location as user input,Variable location as user input,Variable location as user input,Variable location as user input,Variable location as user input,Variable location as user input,Variable location as user input,Variable location as user input
Base URL,Dynamically generates base URL,No base URL generation,Dynamically generates base URL,Dynamically generates base URL,Dynamically generates base URL,Dynamically generates base URL,Dynamically generates base URL,Dynamically generates base URL,Dynamically generates base URL,Dynamically generates base URL,Dynamically generates base URL,Dynamically generates base URL
Type,One time generation,One time generation,One time generation,Incremental generation,Incremental generation,Incremental generation,Incremental generation,Incremental generation,Incremental generation,Incremental generation,Incremental generation,Incremental generation
Apache configuration,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Extension displayed in sitemap and database,.html,.html,.html,.html,.html,.html,None,None,None,None,None,None
Database and search function,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Multi domain,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
minimalistic run file,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Cleared all errors,No,No,No,No,No,No,No,No,No,No,Yes,Yes
Separate data folder for each domain,No,No,No,No,No,No,No,No,No,No,No,Yes
